"model solutions"
1.00,"y","k","ctot","inve","meu","om","rgm1","success","success_err","error"
"2",0.0127784581,0.0000000000,0.0127784581,0.0000000000,0.0000000000,0.0084255055,0.00,1.00,1.00,0.0021212147
"3",0.0097877368,0.0066530897,0.0031346471,0.0066530897,0.0000000000,0.0064535666,0.00,1.00,1.00,0.0005438549
"4",0.0296034707,0.0111047748,0.0244864766,0.0051169940,0.0000000000,0.0188863245,0.00,1.00,1.00,0.0006222246
"5",0.0465763912,0.0249589902,0.0316116982,0.0149646929,0.0000000000,0.0296433465,0.00,1.00,1.00,0.0001318503
"6",0.0717949646,0.0460125968,0.0482454590,0.0235495056,0.0000000000,0.0449078440,0.00,1.00,1.00,0.0000106961
"7",0.0328317285,0.0772030439,-0.002959978,0.0357917068,0.0000000000,0.0172943286,0.00,1.00,1.00,0.0000002653
"8",0.0340410837,0.0834446655,0.0200791577,0.0139619260,0.0000000000,0.0151771679,0.00,1.00,1.00,0.0001901482
"9",0.0390453206,0.0873956335,0.0267498860,0.0122954346,0.0000000000,0.0178728564,0.00,1.00,1.00,0.0002724397
"10",0.0001900160,0.0931163612,-0.014270275,0.0144602911,0.0000000000,-0.007907425,0.00,1.00,1.00,0.0001672625
"11",0.0215837506,0.0777057311,0.0276827447,-0.006098994,0.0000000000,0.0055612015,0.00,1.00,0.00,0.0047779331
"12",0.0304539535,0.0745466943,0.0258424172,0.0046115363,0.0000000000,0.0127822618,0.00,1.00,1.00,0.0006537250
"13",-0.003490880,0.0774485883,-0.013847444,0.0103565634,0.0000000000,-0.009153054,0.00,1.00,1.00,0.0003667859
"14",0.0287739527,0.0625931341,0.0358845481,-0.007110595,0.0000000000,0.0117062521,0.00,1.00,1.00,0.0052173530
"15",0.0201619834,0.0657949958,0.0107008083,0.0094611751,0.0000000000,0.0074382652,0.00,1.00,1.00,0.0004097803
"16",0.0196228728,0.0652899883,0.0135483807,0.0060744921,0.0000000000,0.0067890750,0.00,1.00,1.00,0.0005791391
"17",0.0228915918,0.0643174441,0.0173351372,0.0055564546,0.0000000000,0.0089779558,0.00,1.00,1.00,0.0006051253
"18",0.0435188454,0.0651812247,0.0362233204,0.0072955250,0.0000000000,0.0225878605,0.00,1.00,1.00,0.0005178305
"19",0.0494579509,0.0767955673,0.0313254859,0.0181324650,0.0000000000,0.0263992509,0.00,1.00,1.00,0.0000167010
"20",0.0299262625,0.0903361343,0.0087061387,0.0212201238,0.0000000000,0.0125210525,0.00,1.00,1.00,0.0000136272
"21",0.0473097674,0.0915006887,0.0371115996,0.0101981678,0.0000000000,0.0226375278,0.00,1.00,1.00,0.0003763930
"22",0.0421035249,0.1006308948,0.0238232500,0.0182802750,0.0000000000,0.0191251793,0.00,1.00,1.00,0.0000168031
"23",0.0287667178,0.1060762856,0.0132582375,0.0155084803,0.0000000000,0.0095668632,0.00,1.00,1.00,0.0001182645
"24",0.0060591751,0.1033521783,-0.001824346,0.0078835213,0.0000000000,-0.005758742,0.00,1.00,1.00,0.0004925943
"25",-0.014474313,0.0886462221,-0.010103575,-0.004370738,0.0000000000,-0.018923591,0.00,1.00,1.00,0.0040319891
"26",-0.042150017,0.0709494026,-0.033317820,-0.008832197,0.0226047492,-0.035710113,1.00,1.00,1.00,0.0043025275
"27",-0.066207913,0.0550222651,-0.057375716,-0.008832197,0.0572405584,-0.049908944,1.00,1.00,0.00,0.0008421832
"28",-0.045925951,0.0406878413,-0.037093754,-0.008832197,0.0895205047,-0.035214280,1.00,1.00,1.00,0.0004314644
"29",-0.053047745,0.0277868599,-0.044215547,-0.008832197,0.0567603178,-0.038616957,1.00,1.00,1.00,0.0008200594
"30",-0.048802944,0.0161759766,-0.039970746,-0.008832197,0.0644976292,-0.034677275,1.00,1.00,1.00,0.0006937817
"31",-0.045626656,0.0057261816,-0.036794459,-0.008832197,0.0560882494,-0.031545106,1.00,1.00,1.00,0.0008385286
"32",-0.012864263,-0.003678634,-0.004032066,-0.008832197,0.0495168553,-0.009011846,1.00,1.00,1.00,0.0009536523
"33",-0.003862192,-0.010430802,0.0032578399,-0.007120031,0.0000000000,-0.002203568,0.00,1.00,1.00,0.0052184957
